alpha;dimension;component;dv-err
1,0e-02;1,0;1,0;69,233333
1,0e-02;1,0;2,0;73,3
1,0e-02;1,0;5,0;74,35
1,0e-02;1,0;10,0;75,766667
1,0e-02;1,0;20,0;79,7
1,0e-02;1,0;50,0;76,233333
1,0e-02;1,0;100,0;76,6
1,0e-02;2,0;1,0;55,433333
1,0e-02;2,0;2,0;60,233333
1,0e-02;2,0;5,0;60,716667
1,0e-02;2,0;10,0;64,266667
1,0e-02;2,0;20,0;68,033333
1,0e-02;2,0;50,0;71,65
1,0e-02;2,0;100,0;72,433333
1,0e-02;5,0;1,0;28,6
1,0e-02;5,0;2,0;28,25
1,0e-02;5,0;5,0;30,766667
1,0e-02;5,0;10,0;31,55
1,0e-02;5,0;20,0;33,816667
1,0e-02;5,0;50,0;37,4
1,0e-02;5,0;100,0;38,566667
1,0e-02;10,0;1,0;12,483333
1,0e-02;10,0;2,0;11,966667
1,0e-02;10,0;5,0;11,2
1,0e-02;10,0;10,0;10,883333
1,0e-02;10,0;20,0;11,3
1,0e-02;10,0;50,0;10,5
1,0e-02;10,0;100,0;10,733333
1,0e-02;20,0;1,0;7,05
1,0e-02;20,0;2,0;6,616667
1,0e-02;20,0;5,0;6,25
1,0e-02;20,0;10,0;5,333333
1,0e-02;20,0;20,0;5,85
1,0e-02;20,0;50,0;5,65
1,0e-02;20,0;100,0;5,5
1,0e-02;50,0;1,0;6,616667
1,0e-02;50,0;2,0;6,666667
1,0e-02;50,0;5,0;5,866667
1,0e-02;50,0;10,0;5,55
1,0e-02;50,0;20,0;4,766667
1,0e-02;50,0;50,0;5,6
1,0e-02;50,0;100,0;7,516667
1,0e-02;100,0;1,0;7,300
1,0e-02;100,0;2,0;7,500
1,0e-02;100,0;5,0;6,900
1,0e-02;100,0;10,0;6,633
1,0e-02;100,0;20,0;6,783
1,0e-02;100,0;50,0;8,300
1,0e-02;100,0;100,0;8,483
