alpha;dimension;component;dv-err
1.0e-04;1.0;1.0;69.4
1.0e-04;1.0;2.0;71.566667
1.0e-04;1.0;5.0;75.25
1.0e-04;1.0;10.0;78.366667
1.0e-04;1.0;20.0;78.033333
1.0e-04;1.0;50.0;75.916667
1.0e-04;1.0;100.0;76.166667
1.0e-04;2.0;1.0;55.033333
1.0e-04;2.0;2.0;59.4
1.0e-04;2.0;5.0;60.383333
1.0e-04;2.0;10.0;61.2
1.0e-04;2.0;20.0;62.65
1.0e-04;2.0;50.0;63.916667
1.0e-04;2.0;100.0;64.25
1.0e-04;5.0;1.0;28.333333
1.0e-04;5.0;2.0;27.733333
1.0e-04;5.0;5.0;28.683333
1.0e-04;5.0;10.0;29.55
1.0e-04;5.0;20.0;32.083333
1.0e-04;5.0;50.0;31.383333
1.0e-04;5.0;100.0;31.0
1.0e-04;10.0;1.0;11.816667
1.0e-04;10.0;2.0;10.55
1.0e-04;10.0;5.0;9.783333
1.0e-04;10.0;10.0;9.133333
1.0e-04;10.0;20.0;8.916667
1.0e-04;10.0;50.0;7.783333
1.0e-04;10.0;100.0;7.666667
1.0e-04;20.0;1.0;6.166667
1.0e-04;20.0;2.0;5.35
1.0e-04;20.0;5.0;4.35
1.0e-04;20.0;10.0;4.183333
1.0e-04;20.0;20.0;3.616667
1.0e-04;20.0;50.0;3.216667
1.0e-04;20.0;100.0;2.516667
1.0e-04;50.0;1.0;4.683333
1.0e-04;50.0;2.0;3.8
1.0e-04;50.0;5.0;3.1
1.0e-04;50.0;10.0;2.6
1.0e-04;50.0;20.0;2.333333
1.0e-04;50.0;50.0;1.833333
1.0e-04;50.0;100.0;1.666667
1.0e-04;100.0;1.0;4.267
1.0e-04;100.0;2.0;3.583
1.0e-04;100.0;5.0;2.967
1.0e-04;100.0;10.0;2.517
1.0e-04;100.0;20.0;2.150
1.0e-04;100.0;50.0;1.600 // ESTE
1.0e-04;100.0;100.0;1.850
