Optimizacion; Activación; Capas ocultas; Neuronas; Error
SGD; ReLU; 1; 100; 13.35
SGD; ReLU; 1; 200; 13.083
SGD; ReLU; 1; 500; 12.883
SGD; ReLU; 1; 700; 12.85
SGD; ReLU; 1; 800; 12.817
SGD; ReLU; 2; 100; 16.45
SGD; ReLU; 2; 200; 16.333
SGD; ReLU; 2; 500; 14.583
SGD; ReLU; 2; 700; 14.283
SGD; ReLU; 2; 800; 13.467
SGD; ReLU; 3; 100; 49.883
SGD; ReLU; 3; 200; 37.917
SGD; ReLU; 3; 500; 25.767
SGD; ReLU; 3; 700; 19.567
SGD; ReLU; 3; 800; 21.3
SGD; Sigmoid; 1; 100; 34.05
SGD; Sigmoid; 1; 200; 32.167
SGD; Sigmoid; 1; 500; 27.45
SGD; Sigmoid; 1; 700; 27.633
SGD; Sigmoid; 1; 800; 27.45
SGD; Sigmoid; 2; 100; 88.883
SGD; Sigmoid; 2; 200; 88.883
SGD; Sigmoid; 2; 500; 88.883
SGD; Sigmoid; 2; 700; 88.883
SGD; Sigmoid; 2; 800; 88.883
SGD; Sigmoid; 3; 100; 88.883
SGD; Sigmoid; 3; 200; 88.883
SGD; Sigmoid; 3; 500; 88.883
SGD; Sigmoid; 3; 700; 88.883
SGD; Sigmoid; 3; 800; 88.883
SGD; Tanh; 1; 100; 13.7
SGD; Tanh; 1; 200; 13.233
SGD; Tanh; 1; 500; 12.783
SGD; Tanh; 1; 700; 12.667
SGD; Tanh; 1; 800; 12.617
SGD; Tanh; 2; 100; 15.383
SGD; Tanh; 2; 200; 13.367
SGD; Tanh; 2; 500; 13.117
SGD; Tanh; 2; 700; 12.383
SGD; Tanh; 2; 800; 12.4
SGD; Tanh; 3; 100; 16.683
SGD; Tanh; 3; 200; 15.833
SGD; Tanh; 3; 500; 13.6
SGD; Tanh; 3; 700; 13.217
SGD; Tanh; 3; 800; 12.817
Adadelta; ReLU; 1; 100; 18.717
Adadelta; ReLU; 1; 200; 16.55
Adadelta; ReLU; 1; 500; 15.683
Adadelta; ReLU; 1; 700; 14.65
