iteration	evaluations	runtime[s]	Cuenta_de_+[MAX]	Valor_objetivo-MIN[MIN]
1	25	0.026	4	110
1	25	0.026	2	73
1	25	0.026	0	47
2	50	0.04	4	110
2	50	0.04	2	38
2	50	0.04	1	33
3	75	0.04	4	110
3	75	0.04	2	11
4	100	0.041	4	110
4	100	0.041	2	11
5	125	0.042	4	110
5	125	0.042	2	11
5	125	0.042	3	53
6	150	0.044	4	110
6	150	0.044	2	11
6	150	0.044	3	53
7	175	0.045	4	110
7	175	0.045	2	11
7	175	0.045	3	53
8	200	0.047	4	110
8	200	0.047	2	11
8	200	0.047	3	24
9	225	0.049	4	110
9	225	0.049	2	11
9	225	0.049	3	24
10	250	0.05	4	110
10	250	0.05	2	11
10	250	0.05	3	24
11	275	0.051	4	110
11	275	0.051	2	11
11	275	0.051	3	24
12	300	0.053	2	11
12	300	0.053	3	24
12	300	0.053	5	98
13	325	0.054	2	11
13	325	0.054	3	24
13	325	0.054	5	98
14	350	0.055	2	11
14	350	0.055	3	24
14	350	0.055	5	98
15	375	0.057	2	11
15	375	0.057	5	98
15	375	0.057	3	18
16	400	0.059	2	11
16	400	0.059	5	98
16	400	0.059	3	18
17	425	0.06	2	11
17	425	0.06	5	98
17	425	0.06	3	18
18	450	0.061	2	11
18	450	0.061	5	98
18	450	0.061	3	18
19	475	0.063	2	11
19	475	0.063	5	98
19	475	0.063	3	18
20	500	0.065	2	11
20	500	0.065	5	98
20	500	0.065	3	18
21	525	0.066	2	11
21	525	0.066	5	98
21	525	0.066	3	18
22	550	0.067	2	11
22	550	0.067	5	98
22	550	0.067	3	18
23	575	0.069	2	11
23	575	0.069	5	98
23	575	0.069	3	18
24	600	0.07	2	11
24	600	0.07	5	98
24	600	0.07	3	18
25	625	0.071	2	11
25	625	0.071	5	98
25	625	0.071	3	18
26	650	0.072	2	11
26	650	0.072	5	98
26	650	0.072	3	18
27	675	0.074	2	11
27	675	0.074	5	98
27	675	0.074	3	18
28	700	0.075	2	11
28	700	0.075	5	98
28	700	0.075	3	18
29	725	0.076	2	11
29	725	0.076	5	98
29	725	0.076	3	18
30	750	0.077	2	11
30	750	0.077	5	98
30	750	0.077	3	18
31	775	0.078	2	11
31	775	0.078	5	98
31	775	0.078	3	18
32	800	0.08	2	11
32	800	0.08	5	98
32	800	0.08	3	18
33	825	0.081	2	11
33	825	0.081	5	98
33	825	0.081	3	18
34	850	0.082	2	11
34	850	0.082	5	98
34	850	0.082	3	18
35	875	0.083	2	11
